Stand_GNN_PAG,ClimateScenario,Year,TEMFM1,TreatmentAssignment
277_83057_MHD,NONE,2095,9,trtInBoth
101_13239_LPD,NONE,2095,5,trtInBoth
95_24817_MCD,NONE,2095,5,trtInBoth
2_20918_MCD,NONE,2095,13,trtInBoth
292_137256_MCW,NONE,2095,12,trtInBoth
104_25120_MCW,NONE,2095,12,trtInBoth
296_21274_MCW,NONE,2095,12,trtInBoth
115_24617_MHD,NONE,2095,13,trtInBoth
100_141180_MCW,NONE,2095,5,trtInBoth
190_83057_MHD,NONE,2095,9,trtInBoth
226_105268_MHD,NONE,2095,13,trtInBoth
247_150017_MHD,NONE,2095,5,trtInBoth
7_9194_LPD,NONE,2095,5,trtInBoth
165_8685_MCD,NONE,2095,9,trtInBoth
123_136257_MHD,NONE,2095,13,trtInBoth
2_93981_MCD,NONE,2095,9,trtInBoth
260_25150_MHD,NONE,2095,13,trtInBoth
9_149098_MCW,NONE,2095,9,trtInBoth
58_133652_MCW,NONE,2095,5,trtInBoth
65_129875_MCD,NONE,2095,5,trtInBoth
115_20760_LPD,NONE,2095,5,trtInBoth
182_14347_LPD,NONE,2095,5,trtInBoth
133_20760_MCD,NONE,2095,9,trtInBoth
223_145522_MCW,NONE,2095,9,trtInBoth
248_150017_LPD,NONE,2095,5,trtInBoth
285_24237_MHD,NONE,2095,9,trtInBoth
53_78626_MCD,NONE,2095,5,trtInBoth
115_21177_MHD,NONE,2095,13,trtInBoth
80_136333_MHD,NONE,2095,13,trtInBoth
287_11892_MHD,NONE,2095,9,trtInBoth
135_137268_MCW,NONE,2095,13,trtInBoth
149_94106_MCW,NONE,2095,9,trtInBoth
212_137471_MCW,NONE,2095,13,trtInBoth
70_9157_MCD,NONE,2095,5,trtInBoth
227_13122_MCW,NONE,2095,5,trtInBoth
55_137472_MCW,NONE,2095,13,trtInBoth
217_14498_MCD,NONE,2095,12,trtInBoth
86_9895_MHD,NONE,2095,5,trtInBoth
37_24203_MCW,NONE,2095,9,trtInBoth
118_21178_MHD,NONE,2095,13,trtInBoth
264_80679_MHD,NONE,2095,13,trtInBoth
118_21177_MHD,NONE,2095,13,trtInBoth
37_24758_MCD,NONE,2095,9,trtInBoth
228_137492_MCW,NONE,2095,13,trtInBoth
287_12601_MCW,NONE,2095,13,trtInBoth
57_137268_MHD,NONE,2095,13,trtInBoth
90_78654_MHD,NONE,2095,9,trtInBoth
145_87589_MCW,NONE,2095,9,trtInBoth
3_135147_MHD,NONE,2095,5,trtInBoth
157_8994_MHD,NONE,2095,9,trtInBoth
112_24619_MCD,NONE,2095,9,trtInBoth
99_78788_MCW,NONE,2095,9,trtInBoth
2_17057_MCD,NONE,2095,12,trtInBoth
129_84053_MHD,NONE,2095,13,trtInBoth
112_24617_MCD,NONE,2095,9,trtInBoth
56_129875_MCW,NONE,2095,9,trtInBoth
104_21178_MCW,NONE,2095,13,trtInBoth
2_25090_MCD,NONE,2095,13,trtInBoth
79_84053_MCW,NONE,2095,9,trtInBoth
104_82600_MCW,NONE,2095,12,trtInBoth
150_25053_MCW,NONE,2095,13,trtInBoth
